x_0,target,x_1,upper,x_2,lower
-0.00601,0,-0.006,-0.369,-0.00598,-0.739
0.10496,81.281,0.09872,86.823,0.10515,76.478
0.20078,90.517,0.19446,98.276,0.201,84.975
0.30272,97.167,0.29637,105.665,0.30297,90.887
0.40467,103.448,0.39235,110.837,0.40503,94.581
0.51875,107.143,0.50035,116.379,0.52509,99.015
0.6088,110.468,0.59639,120.074,0.61517,101.601
0.70484,114.163,0.69242,124.138,0.72923,105.665
0.80093,116.749,0.78851,126.724,0.81934,107.512
0.90302,119.704,0.89056,130.419,0.9034,110.099
0.99912,121.921,0.98665,133.005,1.01756,111.946
1.10121,124.877,1.09477,135.591,1.11366,114.163
1.20334,126.724,1.20888,138.547,1.21578,116.379
1.30545,128.941,1.30496,141.133,1.31187,118.966
1.40757,131.158,1.40705,144.089,1.40798,120.813
1.4977,132.266,1.49716,145.936,1.5041,122.66
1.60583,134.483,1.6113,148.153,1.60622,124.877
1.702,135.222,1.70145,148.892,1.71436,126.724
1.80414,136.7,1.77953,150.739,1.79847,128.202
1.90026,138.547,1.86964,152.586,1.91864,130.049
2.0084,140.394,2.00782,154.803,2.02077,131.897
2.10453,141.872,2.10396,156.281,2.11089,133.374
2.20662,144.828,2.2061,157.759,2.20701,135.222
2.31482,145.197,2.30222,159.606,2.32114,137.438
2.40496,146.305,2.40441,159.975,2.41729,138.547
2.50108,148.153,2.50654,161.823,2.51944,140.025
2.59721,149.631,2.59066,162.931,2.60957,141.133
2.69935,151.108,2.69282,164.039,2.71169,143.35
2.80151,152.217,2.80097,165.887,2.81385,144.458
2.90366,153.695,2.90915,166.626,2.904,145.197
2.98179,154.433,2.98127,167.365,2.97611,145.936
