time,e11,e22,e33,e12,e13,e23,s11,s22,s33,s12,s13,s23
0,0,0,0,0,0,0,0,0,0,0,0,0
11,-4.625e-05,-4.625e-05,0.00011,0,0,6.05687e-233,0,0,7.21869,0,0,0
21,-8.82955e-05,-8.82955e-05,0.00021,0,0,-2.61464e-232,0,0,13.781,0,0,0
30,-0.000126136,-0.000126136,0.0003,0,0,3.82519e-232,0,0,19.687,0,0,0
40,-0.000168182,-0.000168182,0.0004,0,0,2.21536e-232,0,0,26.2492,0,0,0
50,-0.000210227,-0.000210227,0.0005,0,0,2.21535e-232,0,0,32.8112,0,0,0
60,-0.000252273,-0.000252273,0.0006,0,0,-4.22287e-232,0,0,39.3732,0,0,0
70,-0.000294318,-0.000294318,0.0007,0,0,-7.44174e-232,0,0,45.935,0,0,0
80,-0.000336364,-0.000336364,0.0008,0,0,-1.06603e-231,0,0,52.4967,0,0,0
90,-0.000378409,-0.000378409,0.0009,0,0,-1.22695e-231,0,0,59.0583,0,0,0
100,-0.000420455,-0.000420455,0.001,0,0,-1.06604e-231,0,0,65.6198,0,0,0
110,-0.0004625,-0.0004625,0.0011,0,0,-9.0515e-232,0,0,72.1812,0,0,0
120,-0.000504545,-0.000504545,0.0012,0,0,1.82955e-231,0,0,78.7425,0,0,0
130,-0.000546591,-0.000546591,0.0013,2.25676e-297,0,-3.85173e-180,0,0,85.3037,0,0,0
140,-0.000589637,-0.000589637,0.0014,-5.98127e-17,5.98599e-17,1.63572e-19,0,0,91.0397,0,0,0
150,-0.000639428,-0.000639428,0.0015,-1.40486e-16,-8.52877e-17,3.76725e-16,0,0,91.2115,0,0,0
160,-0.00068922,-0.00068922,0.0016,5.84495e-16,-5.30033e-16,3.41753e-16,0,0,91.3833,0,0,0
170,-0.000739014,-0.000739014,0.0017,4.64458e-16,-7.46344e-16,3.61563e-16,0,0,91.5532,0,0,0
180,-0.000788817,-0.000788817,0.0018,-1.2582e-16,-6.21241e-16,2.97956e-16,0,0,91.7161,0,0,0
190,-0.0008386,-0.0008386,0.0019,5.14233e-16,-1.14718e-15,-2.50321e-16,0,0,91.8945,0,0,0
200,-0.000888391,-0.000888391,0.002,3.71323e-16,-8.63948e-16,1.60789e-16,0,0,92.067,0,0,0
210,-0.000938182,-0.000938182,0.0021,3.92676e-16,-8.77988e-16,5.72872e-16,0,0,92.2396,0,0,0
220,-0.000987974,-0.000987974,0.0022,7.89649e-16,-2.00829e-15,9.76235e-16,0,0,92.4111,0,0,0
230,-0.00103777,-0.00103777,0.0023,8.41018e-16,-2.45103e-15,6.26665e-16,0,0,92.5793,0,0,0
240,-0.00108756,-0.00108756,0.0024,8.25238e-16,-2.30689e-15,6.2878e-16,0,0,92.7548,0,0,0
250,-0.00113735,-0.00113735,0.0025,-6.96179e-17,-2.93459e-15,2.6316e-16,0,0,92.9267,0,0,0
260,-0.00118714,-0.00118714,0.0026,-1.94787e-16,-2.9434e-15,-9.94022e-18,0,0,93.0979,0,0,0
270.667,-0.00124026,-0.00124026,0.00270667,-9.40081e-16,-3.37331e-15,-6.70297e-16,0,0,93.2768,0,0,0
280.667,-0.00129005,-0.00129005,0.00280667,-8.66634e-16,-3.73616e-15,-2.18411e-16,0,0,93.4483,0,0,0
290.667,-0.00133984,-0.00133984,0.00290667,-4.19011e-16,-3.73e-15,-5.95623e-16,0,0,93.6189,0,0,0
300.667,-0.00138964,-0.00138964,0.00300667,-1.02937e-15,-4.54079e-15,-9.25593e-16,0,0,93.79,0,0,0
310.667,-0.00143943,-0.00143943,0.00310667,-3.71e-17,-4.62432e-15,-7.08344e-16,0,0,93.9599,0,0,0
320.667,-0.00148923,-0.00148923,0.00320667,-1.76521e-16,-4.38026e-15,-1.07323e-15,0,0,94.1269,0,0,0
331,-0.0015407,-0.0015407,0.00331,-1.08577e-15,-4.75378e-15,-7.2166e-16,0,0,94.2855,0,0,0
341,-0.00159049,-0.00159049,0.00341,-9.78878e-16,-5.1889e-15,-1.01123e-15,0,0,94.4625,0,0,0
351,-0.00164028,-0.00164028,0.00351,-4.34409e-16,-4.7581e-15,-1.67242e-15,0,0,94.6341,0,0,0
361,-0.00169007,-0.00169007,0.00361,-5.72256e-16,-4.89438e-15,-2.25767e-15,0,0,94.8063,0,0,0
370.667,-0.0017382,-0.0017382,0.00370667,-1.29592e-15,-4.67662e-15,-2.24516e-15,0,0,94.9774,0,0,0
380.667,-0.00178799,-0.00178799,0.00380667,-2.36119e-15,-4.31388e-15,-1.82758e-15,0,0,95.1493,0,0,0
391,-0.00183945,-0.00183945,0.00391,-2.7077e-15,-3.97997e-15,-1.79154e-15,0,0,95.3217,0,0,0
400.132,-0.0018849,-0.0018849,0.00400132,-2.64491e-15,-3.75788e-15,-1.72224e-15,0,0,95.489,0,0,0
410.679,-0.00193742,-0.00193742,0.00410679,-3.76637e-15,-4.95779e-15,-1.84116e-15,0,0,95.6657,0,0,0
420.667,-0.00198715,-0.00198715,0.00420667,-3.97613e-15,-4.25289e-15,-1.69743e-15,0,0,95.8368,0,0,0
431,-0.00203861,-0.00203861,0.00431,-3.43659e-15,-3.27594e-15,-1.73025e-15,0,0,96.0094,0,0,0
440.132,-0.00208407,-0.00208407,0.00440132,-3.46708e-15,-3.43124e-15,-1.49504e-15,0,0,96.1765,0,0,0
451,-0.0021382,-0.0021382,0.00451,-3.39182e-15,-2.88528e-15,-1.41651e-15,0,0,96.3528,0,0,0
461,-0.00218799,-0.00218799,0.00461,-3.47317e-15,-2.78877e-15,-1.0306e-15,0,0,96.5249,0,0,0
471,-0.00223778,-0.00223778,0.00471,-3.56975e-15,-3.19864e-15,-6.61583e-16,0,0,96.6964,0,0,0
480.296,-0.00228405,-0.00228405,0.00480296,-2.67346e-15,-3.20159e-15,-6.7333e-16,0,0,96.8677,0,0,0
491,-0.00233736,-0.00233736,0.00491,-2.73552e-15,-3.40962e-15,-1.30937e-15,0,0,97.04,0,0,0
